City,BHK,Location,Price (₹),Area (sqft),Property Type,Furnishing,Property Facing
Bangalore,2,"Sobha Dream Gardens, Manayata Tech Park, Bangalore",37000,626 sqft,Flat,Unfurnished,
Bangalore,2,"Sobha Dream Acres, Panathur, Bangalore",45000,700 sqft,Flat,Semi-Furnished,North
Bangalore,3,"SNN Raj Etternia, Haralur Main Road, Bangalore",70000,1350 sqft,Flat,Unfurnished,East
Bangalore,3,"Mantri Webcity, K Narayanapura, Bangalore",51000,1500 sqft,Flat,Semi-Furnished,East
Bangalore,4,"Sobha Indraprastha, Rajajinagar, Bangalore",1.7 Lac,3000 sqft,Flat,Semi-Furnished,
Bangalore,3,"L And T Olivia At Raintree Boulevard Cluster 7, Byatarayanapura, Bangalore",60000,1350 sqft,Flat,Semi-Furnished,East
Bangalore,4,"Embassy Lake Terraces, Hebbal, Bangalore",3 Lac,4200 sqft,Flat,Semi-Furnished,North - East
Bangalore,3,"Elita Promenade, Rbi Layout, J P Nagar, Bangalore",62000,1680 sqft,Flat,Semi-Furnished,North
Bangalore,3,"Avalon Park At The Prestige City, Sarjapura, Bangalore",60000,1100 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Mantri Premero, Doddakannelli, Bangalore",42000,824 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Brigade Cosmopolis, Whitefield, Bangalore",65000,1740 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Prestige Misty Waters, Hebbal, Bangalore",45000,1000 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Sobha Dream Acres, Panathur, Bangalore",46000,1012 sqft,Flat,Furnished,
Bangalore,2,"Godrej Air, Hudi, Bangalore",70000,937 sqft,Flat,Semi-Furnished,West
Bangalore,3,"Phoenix One Bangalore West, Rajajinagar, Bangalore",1.7 Lac,1900 sqft,Flat,Unfurnished,East
Bangalore,4,"Brigade Caladium, Hebbal, Bangalore",1.6 Lac,4020 sqft,Flat,Semi-Furnished,South - East
Bangalore,3,"Brigade Gateway, Rajajinagar, Bangalore",80000,1400 sqft,Flat,Semi-Furnished,South - East
Bangalore,3,"L&T Olivia at Raintree Boulevard, Hebbal, Bangalore",78000,1134 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Prestige Garden Bay, Yelahanka, Bangalore",56000,2159 sqft,Flat,Furnished,
Bangalore,3,"Assetz Marq 2.0, Whitefield, Bangalore",52500,1400 sqft,Flat,Semi-Furnished,East
Bangalore,2,"BCV Brigade Orchards, Devanahalli, Bangalore",30000,1360 sqft,Flat,Semi-Furnished,East
Bangalore,4,Whitefield Bangalore,1.8 Lac,4000 sqft,Villa,Semi-Furnished,North
Bangalore,3,"Mantri Sarovar, Hsr Layout, Bangalore",75000,1700 sqft,Flat,Furnished,East
Bangalore,3,"Sobha Royal Pavilion, Carmelaram, Bangalore",70000,1115 sqft,Flat,Semi-Furnished,North
Bangalore,5,Devanahalli Bangalore,1.8 Lac,3600 sqft,Villa,Furnished,East
Bangalore,2,"Phase 5 JP Nagar, Bangalore",29000,1200 sqft,Flat,Semi-Furnished,West
Bangalore,2,"Varthur Road, Bangalore",20000,1100 sqft,Flat,Semi-Furnished,East
Bangalore,4,"Jains Aashraya, Bannerughatta, Bangalore",1 Lac,1706 sqft,Flat,Furnished,East
Bangalore,4,Devanahalli Bangalore,80000,3410 sqft,Villa,Semi-Furnished,East
Bangalore,3,"Prestige Jindal City, Tumkur Road, Bangalore",38000,985 sqft,Flat,Semi-Furnished,North
Bangalore,3,"Avalon Park At The Prestige City, Sarjapura, Bangalore",65000,1252 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Puravankara Purva Whitehall, Sarjapur Road, Bangalore",95000,2007 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Bren Celestia, Kaikondrahalli, Bangalore",65000,1700 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Brigade El Dorado, Bagalur Main Road, Bangalore",34000,471 sqft,Flat,Furnished,West
Bangalore,3,"Brigade El Dorado, Bagalur Main Road, Bangalore",35000,996 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Bhartiya Nikoo Homes, Thanisandra Main Road, Bangalore",60000,1099 sqft,Flat,Furnished,East
Bangalore,2,"Candeur Carlisle, Mahadevapura, Bangalore",55000,1180 sqft,Flat,Semi-Furnished,North
Bangalore,3,"Cooke Town, Cooke Town, Bangalore",1.8 Lac,1850 sqft,Flat,Furnished,
Bangalore,3,"Vaswani Exquisite, Siddapura Whitefield, Bangalore",85000,1300 sqft,Flat,Semi-Furnished,North
Bangalore,3,"HAL Old Airport Road, Bangalore",1.4 Lac,1330 sqft,Flat,Furnished,North - West
Bangalore,3,"Block 4th Jayanagar, Bangalore",80000,2000 sqft,Flat,Semi-Furnished,North
Bangalore,3,"Godrej Royale Woods, Devanahalli, Bangalore",30000,1157 sqft,Flat,Unfurnished,North
Bangalore,6,Marathahalli Bangalore,1.7 Lac,5000 sqft,Villa,Semi-Furnished,East
Bangalore,3,"L&T Raintree Boulevard, Hebbal, Bangalore",55000,970 sqft,Flat,Semi-Furnished,West
Bangalore,2,"Electronic City, Bangalore",22000,1312 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Stage 2 Indiranagar, Bangalore",95000,2300 sqft,Flat,Semi-Furnished,East
Bangalore,3,"RR Nagar, Bangalore",37000,1500 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Doddanekundi, Kartik Nagar, Bangalore",40000,1450 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Total Environment Pursuit of a Radical Rhapsody Phase 3, Basavanna Nagar, Whitefield, Bangalore",2 Lac,2424 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Kalena Agrahara, Bangalore",34000,1150 sqft,Flat,Furnished,West
Bangalore,2,"Brigade Lakefront, Hoodi, Hoodi, Bangalore",65000,877 sqft,Flat,Semi-Furnished,West
Bangalore,3,"Nisarga Keerthana, Hosur Road, Bangalore",17999,1411 sqft,Flat,Furnished,
Bangalore,2,"Godrej E City Phase II, Electronic City, Bangalore",32000,900 sqft,Flat,Semi-Furnished,East
Bangalore,4,Junnasandra Bangalore,1.3 Lac,5500 sqft,Villa,Furnished,East
Bangalore,3,"Sattva Misty Charm, Mallasandra, Bangalore",45000,1230 sqft,Flat,Semi-Furnished,West
Bangalore,2,"Monarch Nest, Old Madras Road, Bangalore",40000,1050 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Peninsula Pinnacle, Confident Rigel Althena, Bangalore",25000,1120 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Sobha Cinnamon, Haralur, Bangalore",60000,1600 sqft,Flat,Furnished,East
Bangalore,3,"Brigade Golden Triangle, Aavalahalli, Bangalore",40000,1200 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Sobha Habitech, Whitefield, Bangalore",60000,1430 sqft,Flat,Unfurnished,East
Bangalore,2,"Nitesh Central Park, Bellary Road, Bangalore",32000,1061 sqft,Flat,Unfurnished,West
Bangalore,3,"Total Time, Indiranagar, Bangalore",3 Lac,2929 sqft,Flat,Furnished,West
Bangalore,2,"Bren Edgewaters, Sarjapur Road, Bangalore",48000,910 sqft,Flat,Semi-Furnished,West
Bangalore,2,"Northroof Nitesh Hyde Park II, Bannerghatta Main Road, Bangalore",32000,800 sqft,Flat,Semi-Furnished,West
Bangalore,3,"Brigade Cosmopolis, Whitefield, Bangalore",68000,1790 sqft,Flat,Semi-Furnished,West
Bangalore,3,"Krypton at Brigade Eldorado, Huvinayakanahalli, Bangalore",45000,1092 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Yarandahalli, Bangalore",43000,1480 sqft,Flat,Semi-Furnished,East
Bangalore,3,BSF Campus Bangalore,90000,2300 sqft,Villa,Furnished,East
Bangalore,3,"Aanvi Alps, Sarjapur Road, Bangalore",45000,1450 sqft,Flat,Furnished,North
Bangalore,3,"Karle Zenith, Hebbal, Bangalore",1 Lac,2500 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Sobha Palm Court, Prakruthi Nagar Kogilu, Bangalore",50000,1360 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Mahaveer Regal, Basavanna Nagar, Whitefield, Bangalore",46000,1430 sqft,Flat,Semi-Furnished,North - East
Bangalore,3,"Prestige Gulmohar, Horamavu, Bangalore",58000,1320 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Blue Lotus Apartments, Kadubeesanahalli, Bangalore",62000,1450 sqft,Flat,Furnished,East
Bangalore,3,"Tranquil at Brigade Cornerstone Utopia, Varthur, Bangalore",63000,1207 sqft,Flat,Unfurnished,West
Bangalore,3,"Karle Zenith, Hebbal, Bangalore",90000,2513 sqft,Flat,Semi-Furnished,East
Bangalore,3,"L And T Raintree Boulevard Phase 2, Byatarayanapura, Bangalore",58000,989 sqft,Flat,Semi-Furnished,North - East
Bangalore,3,"Block 1st JayaNagar, Bangalore",60000,1800 sqft,Flat,Unfurnished,East
Bangalore,3,"Shapoorji Pallonji Parkwest Phase 2, Binny Pete, Bangalore",65000,2000 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Ankuraa Lotus, Whitefield, Bangalore",49000,850 sqft,Flat,Furnished,North - East
Bangalore,4,Sadashiva Nagara Bangalore,2.7 Lac,2500 sqft,House,Semi-Furnished,North
Bangalore,3,"Avalon Park At The Prestige City, Confident Rigel Althena, Bangalore",65000,1077 sqft,Flat,Semi-Furnished,North - East
Bangalore,1,"Prestige Primrose Hills, Stage 6th Banashankari, Bangalore",22000,589 sqft,Flat,Semi-Furnished,
Bangalore,3,"Marble Arch, Pulikeshi Nagar, Bangalore",38000,1500 sqft,Flat,Furnished,South
Bangalore,3,"Assetz East Point, Marathahalli, Bangalore",82000,1700 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Jal Vayu Vihar, Kalyan Nagar, Bangalore",30000,650 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Prestige Waterford, Ecc Road, Whitefield, Bangalore",90000,1550 sqft,Flat,Semi-Furnished,North - East
Bangalore,4,"Epip Zone, Whitefield Bangalore",4.5 Lac,3500 sqft,Villa,Semi-Furnished,North
Bangalore,3,"Prestige Estates Shantiniketan, Whitefield, Bangalore",90000,2072 sqft,Flat,Semi-Furnished,South
Bangalore,3,"MRKR Mera Homes, Whitefield, Bangalore",56000,1844 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Sobha Eternia, Haralur, Bangalore",65000,1750 sqft,Flat,Semi-Furnished,North
Bangalore,4,"Whitefield, Bangalore",1.2 Lac,3000 sqft,Flat,Semi-Furnished,North - West
Bangalore,2,"Prestige Falcon City, Anjanadri Layout, Konanakunte, Bangalore",46000,1375 sqft,Flat,Semi-Furnished,East
Bangalore,3,Phase 5 JP Nagar Bangalore,50000,2000 sqft,House,Semi-Furnished,North
Bangalore,2,"Jayani Paradise, Mahadevapura, Bangalore",45000,1215 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Prestige Sunrise Park, Electronic City, Bangalore",40000,1120 sqft,Flat,Semi-Furnished,East
Bangalore,2,"The greens, Doddanekundi, Kartik Nagar, Bangalore",40000,1055 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Needs 3, Haralur Main Road, Bangalore",35000,832 sqft,Flat,Unfurnished,East
Bangalore,4,"Prestige White Meadows Villas, Whitefield, Bangalore",3.8 Lac,5900 sqft,Flat,Unfurnished,North
Bangalore,2,"Kodihalli, Bangalore",25000,850 sqft,Flat,Semi-Furnished,West
Bangalore,3,"Godrej Air, Hoodi, Hoodi, Bangalore",80000,1400 sqft,Flat,Unfurnished,East
Bangalore,3,"natasha golf view apartments, Domlur, Domlur, Bangalore",75000,1900 sqft,Flat,Furnished,North
Bangalore,3,"Green Glen Layout, Bellandur, Outer Ring Road, Bangalore",65000,1950 sqft,Flat,Semi-Furnished,East
Bangalore,2,"SJR Watermark, Sarjapur Road, Bangalore",60000,1450 sqft,Flat,Unfurnished,North
Bangalore,4,"Meadow In The Sun, Kasavanahalli, Bangalore",1.1 Lac,4000 sqft,Flat,Semi-Furnished,North - East
Bangalore,3,"Adarsh Palm Retreat Tower I, Adarsh Palm Retreat, Bellandur, Bangalore",75000,1850 sqft,Flat,Semi-Furnished,North
Bangalore,4,"Doopanahalli, Indira nagar Bangalore",68000,1600 sqft,Villa,Semi-Furnished,East
Bangalore,4,"Prestige Jade Pavilion, Marathahalli Sarjapur Outer Ring Road, Bangalore",1.3 Lac,2524 sqft,Flat,Semi-Furnished,East
Bangalore,4,Yelahanka Bangalore,2.6 Lac,4000 sqft,Villa,Semi-Furnished,East
Bangalore,2,"Kothanur, Bangalore",28800,1100 sqft,Flat,Furnished,East
Bangalore,3,"Palace Garden Apartments, Vasanth Nagar, Bangalore",70000,1800 sqft,Flat,Semi-Furnished,
Bangalore,3,"Godrej Platinum, Hebbal, Bangalore",1 Lac,2200 sqft,Flat,Semi-Furnished,West
Bangalore,2,JP nagar phase 6 Bangalore,25 Lac,850 sqft,House,Semi-Furnished,North - East
Bangalore,3,"Incor Carmel Heights, Whitefield, Bangalore",70000,1440 sqft,Flat,Semi-Furnished,
Bangalore,2,Bangalore,35999,1250 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Tranquil at Brigade Cornerstone Utopia, Varthur, Bangalore",52000,1007 sqft,Flat,Semi-Furnished,West
Bangalore,2,"House of Hiranandani Devanahalli, Devanahalli, Bangalore",30000,750 sqft,Flat,Furnished,East
Bangalore,4,Seegehalli Bangalore,1.3 Lac,2250 sqft,Villa,Semi-Furnished,North - West
Bangalore,3,"GR Signature, Whitefield, Bangalore",38000,1300 sqft,Flat,Semi-Furnished,North - East
Bangalore,2,"ITI Layout HSR Layout, Bangalore",45000,1000 sqft,Flat,Semi-Furnished,East
Bangalore,1,"Brigade Enterprises Parkside East, Sarjapur Road, Bangalore",35000,800 sqft,Flat,Semi-Furnished,North - East
Bangalore,3,Sarjapura Bangalore,35000,1550 sqft,Villa,Semi-Furnished,North - East
Bangalore,3,"Bren Avalon, Marathahalli, Bangalore",64000,1419 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Bhartiya Nikoo Homes, Thanisandra, Bangalore",45000,1099 sqft,Flat,Semi-Furnished,North - East
Bangalore,2,"Banyan Tree, Bellandur, Outer Ring Road, Bangalore",50000,1680 sqft,Flat,Semi-Furnished,East
Bangalore,1,"Sector 5th HSR Layout, Bangalore",21000,640 sqft,Flat,Unfurnished,East
Bangalore,4,"Brigade Rhapsody, Jayamahal, Jayamahal, Bangalore",2.5 Lac,3500 sqft,Flat,Furnished,East
Bangalore,3,"Maithri Shilpitha Splendour Annex, Marathahalli, Bangalore",58000,1300 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Prestige Misty Waters, Hebbal, Bangalore",65000,1350 sqft,Flat,Furnished,West
Bangalore,4,Yelahanka Bangalore,2 Lac,4000 sqft,Villa,Semi-Furnished,East
Bangalore,2,"The HSR Club residency, Hsr Layout, Bangalore",48000,1110 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Bhartiya City Nikoo Homes, Thanisandra, Bangalore",42000,1265 sqft,Flat,Semi-Furnished,East
Bangalore,2,"Mahaveer Jonquil, J P Nagar, Bangalore",31000,1100 sqft,Flat,Semi-Furnished,East
Bangalore,1,"Sowparnika Ashiyana, Whitefield, Bangalore",15000,372 sqft,Flat,Furnished,East
Bangalore,4,Battarahalli Bangalore,90000,2490 sqft,House,Semi-Furnished,West
Bangalore,2,"Ozone Evergreens, Haralur Main Road, Bangalore",44000,977 sqft,Flat,Semi-Furnished,West
Bangalore,3,Basavanagudi Bangalore,50000,2400 sqft,House,Semi-Furnished,West
Bangalore,3,"Halasuru, Bangalore",71000,1795 sqft,Flat,Semi-Furnished,South - East
Bangalore,3,"Astro Rosewood Regency, Kaikondrahalli, Bangalore",55000,1650 sqft,Flat,Semi-Furnished,North
Bangalore,2,"Prestige Finsbury Park Regent, Bagalur Main Road, Bangalore",24000,920 sqft,Flat,Semi-Furnished,North - East
Bangalore,1,Bangalore,11000,750 sqft,Flat,Semi-Furnished,
Bangalore,3,"Prestige Abshot, Abshot Layout, Palace Road, Bangalore",2 Lac,3099 sqft,Flat,Furnished,East
Bangalore,1,"Chinnapanna Halli, Bangalore",18000,900 sqft,Flat,Semi-Furnished,North
Bangalore,3,Sector 1st HSR Layout Bangalore,76000,1842 sqft,House,Unfurnished,North
Bangalore,3,Begur Koppa Road Bangalore,70000,3800 sqft,Villa,Unfurnished,East
Bangalore,2,"Maithri Shilpitha Splendour Annex, Marathahalli, Bangalore",42000,1248 sqft,Flat,Semi-Furnished,North - East
Bangalore,3,"Provident Capella, Channasandra, Bangalore",45000,745 sqft,Flat,Semi-Furnished,East
Bangalore,3,"Keerthi Signature, Itpl, Whitefield, Bangalore",68000,1610 sqft,Flat,Furnished,East
Bangalore,2,"Sobha Dream Acres, Panathur, Bangalore",50000,1220 sqft,Flat,Furnished,East
Bangalore,3,"Puravankara Purva Westend, Hosur Road, Bangalore",75000,1850 sqft,Flat,Semi-Furnished,East
Bangalore,1,"Singasandra, Hosur Road, Bangalore",18000,450 sqft,Flat,Semi-Furnished,North
Bangalore,3,"Parijatha Apartments, Bellandur, Outer Ring Road, Bangalore",55000,1390 sqft,Flat,Furnished,East
Bangalore,3,"Sector 2 HSR Layout, Bangalore",70000,1300 sqft,Flat,Semi-Furnished,North - East
Bangalore,3,Phase 3rd JP Nagar Bangalore,1.2 Lac,3000 sqft,House,Semi-Furnished,East
Bangalore,3,"Sobha Hibiscus, Outer Ring Road, Bangalore",65000,1770 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Lodha The World Towers, Lodha The World Towers, Lower Parel, Mumbai",4.5 Lac,2195 sqft,Flat,Furnished,East
Mumbai,3,"Trump Tower, Trump Tower, Worli, Mumbai",3.5 Lac,2100 sqft,Flat,Unfurnished,North
Mumbai,2,"Piramal Mahalaxmi, Piramal Mahalaxmi, Mahalakshmi, Mumbai",2 Lac,775 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Lodha Woods, Lodha Woods, Lokhandwala Township Kandivali East, Mumbai",1 Lac,1520 sqft,Flat,Unfurnished,East
Mumbai,5,"Hiranandani Richmond, Hiranandani Richmond, Powai, Mumbai",5.5 Lac,3800 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Trump Tower, Trump Tower, Worli, Mumbai",4 Lac,1605 sqft,Flat,Semi-Furnished,West
Mumbai,4,"Dosti Acres, Dosti Acres, Wadala East, Mumbai",2 Lac,1600 sqft,Flat,Furnished,
Mumbai,4,"Juhu, Mumbai",6.5 Lac,2650 sqft,Flat,Semi-Furnished,East
Mumbai,5,"K Raheja Vivarea, K Raheja Vivarea, Mahalakshmi, Mumbai",11 Lac,4400 sqft,Flat,Semi-Furnished,South -West
Mumbai,2,"Dheeraj Gaurav Heights, Dheeraj Gaurav Heights, Andheri West, Mumbai",65000,800 sqft,Flat,Semi-Furnished,North
Mumbai,2,"Dosti Eastern Bay, Dosti Eastern Bay, Wadala East, Mumbai",88000,675 sqft,Flat,Semi-Furnished,North
Mumbai,3,"Oberoi Exquisite II, Oberoi Exquisite II, Goregaon East, Mumbai",2.3 Lac,1820 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Hiranandani Castle Rock, Hiranandani Castle Rock, Powai, Mumbai",1.2 Lac,777 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Wadhwa The Address, Wadhwa The Address, Ghatkopar West, Mumbai",1.3 Lac,1170 sqft,Flat,Semi-Furnished,North
Mumbai,1,"Ajmera Greenfinity, Ajmera Greenfinity, Wadala East, Mumbai",52000,340 sqft,Flat,Unfurnished,North - East
Mumbai,2,"Shree Naman Premier, Shree Naman Premier, Andheri East, Mumbai",62000,577 sqft,Flat,Unfurnished,North
Mumbai,2,"Raheja Serenity, Raheja Serenity, Kandivali East, Mumbai",67000,720 sqft,Flat,Unfurnished,East
Mumbai,2,"Hiranandani Castle Rock, Hiranandani Castle Rock, Powai, Mumbai",1.6 Lac,777 sqft,Flat,Furnished,East
Mumbai,3,"Juhu, Mumbai",3.5 Lac,1800 sqft,Flat,Furnished,East
Mumbai,3,"Juhu, Mumbai",2.3 Lac,1300 sqft,Flat,Furnished,North - East
Mumbai,3,"Rustomjee Seasons, Rustomjee Seasons, Bandra East, Mumbai",3.9 Lac,1460 sqft,Flat,Semi-Furnished,South - East
Mumbai,3,"Chembur, Mumbai",1.4 Lac,1275 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Juhu, Mumbai",6.5 Lac,2500 sqft,Flat,Unfurnished,North
Mumbai,4,"Dheeraj Insignia Apartment, Dheeraj Insignia Apartment, Bandra East, Mumbai",1.7 Lac,1850 sqft,Flat,Unfurnished,East
Mumbai,2,"SD Siennaa, SD Siennaa, Kandivali East, Mumbai",54000,740 sqft,Flat,Unfurnished,East
Mumbai,3,"Ekta Tripolis, Ekta Tripolis, Goregaon West, Mumbai",85000,800 sqft,Flat,Semi-Furnished,South - East
Mumbai,2,"Gagangiri Gagan 138, Gagangiri Gagan 138, Kurla East, Mumbai",65000,700 sqft,Flat,Furnished,East
Mumbai,3,"HDIL Metropolis, HDIL Metropolis, Andheri West, Mumbai",1.4 Lac,1322 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Runwal Forests, Runwal Forests, Kanjurmarg West, Mumbai",60000,635 sqft,Flat,Furnished,West
Mumbai,3,"Omkar Alta Monte, Omkar Alta Monte, Malad East, Mumbai",1.1 Lac,1230 sqft,Flat,Unfurnished,East
Mumbai,2,"Sunteck City Avenue 1, Sunteck City Avenue 1, Goregaon West, Mumbai",76000,905 sqft,Flat,Unfurnished,East
Mumbai,3,"Ekta Bhoomi Gardens III, Ekta Bhoomi Gardens III, Borivali East, Mumbai",75000,1050 sqft,Flat,Furnished,East
Mumbai,2,"Piramal Revanta, Piramal Revanta, Mulund West, Mumbai",64000,780 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Godrej The Trees, Godrej The Trees, Vikhroli East, Mumbai",1.1 Lac,770 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Ahuja Towers, Ahuja Towers, Worli, Mumbai",13 Lac,4200 sqft,Flat,Furnished,East
Mumbai,3,"Oberoi Esquire, Oberoi Esquire, Goregaon East, Mumbai",2.6 Lac,1369 sqft,Flat,Semi-Furnished,North - East
Mumbai,2,"Sheth Auris Serinity, Sheth Auris Serinity, Malad West, Mumbai",75000,806 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Aditya Runwal Elegante, Aditya Runwal Elegante, Andheri West, Mumbai",1.9 Lac,1365 sqft,Flat,Semi-Furnished,North - West
Mumbai,2,"Khar West, Mumbai",1.2 Lac,800 sqft,Flat,Semi-Furnished,North - West
Mumbai,2,"Kalpataru Primus Residences, Kalpataru Primus Residences, Santacruz East, Mumbai",1 Lac,700 sqft,Flat,Furnished,East
Mumbai,2,"Lodha Aurum Grande, Lodha Aurum Grande, Kanjurmarg East, Mumbai",70000,950 sqft,Flat,Furnished,East
Mumbai,3,"Raheja Classique, Raheja Classique, Andheri West, Mumbai",1.8 Lac,1300 sqft,Flat,Furnished,North - East
Mumbai,3,"Shiv Shakti Apartments, Shiv Shakti Apartments, Andheri West, Mumbai",1.5 Lac,1200 sqft,Flat,Furnished,North - West
Mumbai,3,"Worli, Mumbai",2.4 Lac,1092 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Godrej The Trees, Godrej The Trees, Vikhroli East, Mumbai",1.1 Lac,753 sqft,Flat,Unfurnished,East
Mumbai,4,"Windsor Grande Residences, Windsor Grande Residences, Andheri West, Mumbai",5.5 Lac,3050 sqft,Flat,Furnished,East
Mumbai,4,"Lodha World View, Lodha World View, Worli, Mumbai",5.5 Lac,2087 sqft,Flat,Furnished,
Mumbai,1,"L & T Veridian at Emerald Isle, L & T Veridian at Emerald Isle, Powai, Mumbai",55500,390 sqft,Flat,Semi-Furnished,North - East
Mumbai,3,"Chembur, Mumbai",1.8 Lac,1235 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Parishram By Rustomjee, Parishram By Rustomjee, Bandra West, Mumbai",6.5 Lac,1900 sqft,Flat,Semi-Furnished,South -West
Mumbai,3,"Kalpataru Vienta, Kalpataru Vienta, Kandivali East, Mumbai",93000,1012 sqft,Flat,Unfurnished,North - East
Mumbai,3,"Viceroy SAVANA, Viceroy SAVANA, Kandivali East, Mumbai",1.3 Lac,1060 sqft,Flat,Unfurnished,
Mumbai,3,"Rajesh White City, Rajesh White City, Kandivali East, Mumbai",70000,1200 sqft,Flat,Semi-Furnished,North - East
Mumbai,2,"Sheth Vasant Blossom, Sheth Vasant Blossom, Andheri East, Mumbai",74999,700 sqft,Flat,Semi-Furnished,East
Mumbai,4,"Chembur, Mumbai",1.4 Lac,1450 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Virmati Villa CHS, Virmati Villa CHS, Borivali West, Mumbai",60000,845 sqft,Flat,Unfurnished,
Mumbai,3,"Vile Parle East, Mumbai",1.8 Lac,1600 sqft,Flat,Unfurnished,East
Mumbai,2,"Omkar Raga, Omkar Raga, Chembur, Mumbai",62000,700 sqft,Flat,Unfurnished,East
Mumbai,3,"Union Park, Union Park, Chembur, Mumbai",1.3 Lac,1400 sqft,Flat,Unfurnished,North - East
Mumbai,1,"L & T Veridian at Emerald Isle, L & T Veridian at Emerald Isle, Powai, Mumbai",55000,400 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Lodha Park, Lodha Park, Worli, Mumbai",2.4 Lac,1092 sqft,Flat,Unfurnished,West
Mumbai,2,"Dayal Smruti, Dayal Smruti, Kandivali West, Mumbai",52000,670 sqft,Flat,Unfurnished,East
Mumbai,3,"Panch Ritu, Panch Ritu, Powai, Mumbai",90000,1150 sqft,Flat,Semi-Furnished,East
Mumbai,1,"K Raheja Palm Court, K Raheja Palm Court, Malad West, Mumbai",40000,650 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Kalpataru Primus, Kalpataru Primus, Santacruz East, Mumbai",90000,680 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Sethia Grandeur, Sethia Grandeur, Bandra East, Mumbai",1 Lac,690 sqft,Flat,Furnished,East
Mumbai,2,"Golden Square, Golden Square, Santacruz East, Mumbai",90000,775 sqft,Flat,Semi-Furnished,East
Mumbai,3,"Alpine Shapoorji Pallonji, Alpine Shapoorji Pallonji, Kandivali East, Mumbai",90000,1250 sqft,Flat,Unfurnished,East
Mumbai,3,"Neelkanth Valley, Neelkanth Valley, Ghatkopar East, Mumbai",1.2 Lac,1294 sqft,Flat,Furnished,East
Mumbai,5,"Omkar Alta Monte, Omkar Alta Monte, Malad East, Mumbai",3 Lac,4053 sqft,Flat,Unfurnished,East
Mumbai,3,"Kandivali West, Mumbai",85000,1050 sqft,Flat,Unfurnished,East
Mumbai,2,"Vile Parle East, Mumbai",99000,740 sqft,Flat,Unfurnished,East
Mumbai,3,"Lodha Fiorenza, Lodha Fiorenza, Goregaon East, Mumbai",1.6 Lac,1081 sqft,Flat,Semi-Furnished,East
Mumbai,3,"L&T Emerald Isle, L&T Emerald Isle, Powai, Mumbai",1.3 Lac,1050 sqft,Flat,Semi-Furnished,East
Mumbai,2,"Dudhsagar Apartment, Dudhsagar Apartment, Goregaon East, Mumbai",50000,650 sqft,Flat,Semi-Furnished,North
Mumbai,4,"Shivaji Park, Mumbai",2.6 Lac,1450 sqft,Flat,Furnished,East
Mumbai,2,"SD Epsilon, SD Epsilon, Kandivali East, Mumbai",51000,631 sqft,Flat,Semi-Furnished,North
Mumbai,2,"Mahindra Roots, Mahindra Roots, Kandivali East, Mumbai",46000,750 sqft,Flat,Unfurnished,
Mumbai,1,"Bandra West, Mumbai",65000,500 sqft,Flat,Semi-Furnished,East
